OCC_CLS,PRIM_OCC,PROP_ADDR,PROP_CITY,PROP_ST,PROP_ZIP,LONGITUDE,LATITUDE
Residential,Manufactured Home,5 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.88992038,41.72737478
Residential,Single Family Dwelling,30 PETER COOPER DRIVE,POUGHKEEPSIE,New York,12601,-73.90923647,41.72760951
Residential,Manufactured Home,1 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.88946627,41.72741231
Residential,Single Family Dwelling,17 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91453051,41.72768411
Residential,Manufactured Home,3 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.88968863,41.72740322
Residential,Manufactured Home,22 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89327468,41.72744894
Education,Colleges/Universities,37 GALLERY CIRCLE,POUGHKEEPSIE,New York,12601,-73.90353729,41.72722101
Residential,Single Family Dwelling,194 CREEK ROAD,POUGHKEEPSIE,New York,12601,-73.90224028,41.72755062
Residential,Single Family Dwelling,194 VIOLET AVENUE,POUGHKEEPSIE,New York,12601,-73.91048955,41.72767769
Residential,Manufactured Home,2 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89469283,41.72749272
Residential,Single Family Dwelling,19 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91422449,41.72771399
Residential,Single Family Dwelling,23 WALDORF PLACE,POUGHKEEPSIE,New York,12601,-73.92029984,41.72777035
Residential,Single Family Dwelling,29 PETER COOPER DRIVE,POUGHKEEPSIE,New York,12601,-73.90977557,41.7276657
Commercial,Retail Trade,27 STRATFORD DRIVE,POUGHKEEPSIE,New York,12603,-73.84315699,41.72697178
Government,General Services,65 INWOOD AVENUE,POUGHKEEPSIE,New York,12601,-73.91789191,41.72778012
Residential,Manufactured Home,20 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89303043,41.72749667
Residential,Single Family Dwelling,21 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91395938,41.72774312
Residential,Single Family Dwelling,31 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91276483,41.72770822
Residential,Single Family Dwelling,20 WALDORF PLACE,POUGHKEEPSIE,New York,12601,-73.91942176,41.7278091
Residential,Manufactured Home,65 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89652011,41.72761533
Residential,Single Family Dwelling,23 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91359621,41.72777328
Residential,Manufactured Home,3 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89533979,41.72757658
Residential,Single Family Dwelling,11 GRADY HILL COURT,POUGHKEEPSIE,New York,12603,-73.86741589,41.72731823
Residential,Manufactured Home,46 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.8958871,41.72762671
Residential,Single Family Dwelling,25 EAGLE LANE,POUGHKEEPSIE,New York,12601,-73.91333821,41.72779716
Residential,Manufactured Home,18 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89282124,41.7275515
